airline_sentiment,clean_tweet
negative,totally agree get automatic phone attendent goes hangs lousy service
neutral,receipt show evoucher value mention used evoucher
negative,trying call reservations desk past hours get expected
negative,customer service terrible waiting weeks reply email helpful keep brushing problems
negative,taken care already come expect level horrible service time time
negative,given callback option service turned
negative,flying today mty mex still appear cancelled flight talk another flight
negative,call try understand possible reach agent know else
negative,ok probably cancelled flight flights take refund get home another way wednesday work us
neutral,hoping
negative,also wait hours speak someone phone wait hours
negative,make hours
positive,despite chaos still grateful flight home
negative,supposed cancelled flight online want lose funds ticket help
negative,poor customer service unacceptable also bout surfer front website noloveforsurfers pretend
negative,need help trying cancelled flight flight takes get hold anyone lines busy
positive,always nice coming home wish fly lax mad keep away iberia goingforgreat
negative,trying cancelled flight fligt hare dallas pm high call volume one answer online confirmation thanku
negative,given choice rep meelan uk aa contact center escalate flight supervisor book change
negative,retrain customer service first make proper adjustments cancelled flightling flights mistakes
negative,wish better mobile app look app much seemless check
negative,delayed flight six hours missed international connection extra night hotel still pay lb surfboardbag
neutral,dmed name
negative,vouchers cancelled flighted flight due weather today issue broken tire vouchers cause tire broken weather nomoaa
negative,worst airline cancelled flight flight even let us know even though traveling children
negative,long mait repair wait gate capt said paperwork formality forced check bag rudely returning cc reader work
negative,one hour check minutes long mia fail
negative,thx showing twitter appreciates employees sure another airline would like nohotel
positive,thanks response better nothing ahem
negative,get customer rep help option got
positive,snacks left purpose team helpful morning desk phone
neutral,flight
negative,could even see tried make transaction offer price tried purchase
negative,complaint visit customer service desk sees line people deep
negative,time damn thing guy winter hat frowny face
negative,much status ep million miles revenue first class ticket im sitting coach thanks rude cs staff
negative,deplaned hare gate k send customer service rep discuss situation god knows
negative,dm anything
negative,time hrs passed got call back ticket fault yet pay extra
negative,gotta say amp staff real
negative,let complete transaction one way barbados nyc
negative,brother flight dfw cancelled flightled yesterday flying ont dfw today
negative,customer service today unsat flight cnx notified called hours phone line even let hold
negative,refund
negative,still patiently waiting response complaint email fri normal response time
negative,flight trying change hours trying reach agent unbelievable
negative,ok one help bag lost honeymoon months ago responsible professional
negative,sjc gt lax fourth time gave
negative,flight san angelo via dallas orlando cancelled flighted help hold disconnect
negative,surely much better let us share feedback unless something hide
negative,staff jfk airport discussing way left stranded
negative,add ktn existing reservation letting add online
negative,still response aa great job guys
neutral,need help cancelled flighting upcoming flight made aadvantage miles record locator hfjkto someone please assist
negative,confused definition preferred seat paid extra one got regular seat legroom unimpressed
neutral,lost black wallet dallasairport flight cle would appreciate ur help last used
neutral,thank cancelled flighting return flight already rebooked another airline get home today
neutral,fl dfw leaving newark time going nashville first get stuck nashville
negative,howdy trouble getting rebooked flight cancelled flightled get thru via phone web erroring help
negative,oh yea c mon buddy bring special friend conversation seem nothing
negative,agents domestic check mia wtf huge lines many people cancelled flightled flights
negative,told minute wait time waiting hours hour gone ridiculous
negative,dmed
negative,see response
positive,gotta love skycaps solving problems faster anyone else terminal smile face
negative,guys need educate employees pink tag stop losing guitar thousandth time
negative,pretty frustrating even stay hold get help flight cancelled flightation
negative,equally terrible going fight get complete satisfaction mistreated
negative,wrote back saying challenging week sure shit
negative,contact something alleviate terrible terrible service year old social media guru
negative,week going make anything put ease asking fix things
negative,address assult drinks spilled drunk passenger wheelchair get plane
negative,complete lack faith companies really shame think telling challenging
negative,priority baggage evidently means comes last
negative,getting us need acceptable mention cancelled flighting meetings interviews client
negative,airline spent three extra days traveling domestic spent hundreds dollars
negative,worst flights customer service second time cancelled flighted gotta pay hotel find rides
negative,flight dc la mention fix circuit breaker bathrooms plane old
negative,incredibly arrogant thing say sit hare waiting incompetent airlines refuel
neutral,june thru december bus first milesaaver awards available cun nyc explain whyfly
negative,tried anything said would talk stewardess serving drunks drinks help
negative,please improve business extra flight reservation process book online century min hold
negative,tried already waiting list call back hourwaitsucks
negative,stressful morning still pay check bag lax madhouse lot angry customers yikes
neutral,characters respond via formal letter trust plenty say
negative,best never fly w americanairlines ever made day remember
negative,phone calls hrs sent back amp forth two lines terminal skycap finds solution
negative,thanks response tough night involved flight got cancelled flightled started taxiing runway
negative,response flight montrose cancelled flightled
positive,thank responding rather quickly btw
neutral,saga continues
negative,thanks dm rescheduling unfortunately operations process lax chaos amp reps refused print ticket
positive,ok thank
neutral,could guys follow dm yall please
negative,cancelled flighting flight today weather dallas without charged
negative,told got put another flight would get email still gotten one yet
negative,please try call see happens understand allrepresentativesbusy nooption
positive,thank cc
negative,tried check redirect call also get contact
negative,flight delayed times today due flight officer pit ord hour delay date bademployeeproblem
negative,pt aa reservations phone number less helpful telling change things online
negative,yes much help guys
positive,thank cancelled flighting flights putting husbands life danger driving weather safetyfirst
negative,travel advisories toronto today access anything regarding international travel website
negative,understand hours late flightr still heard word plan week zero information
neutral,two non revs right
neutral,check dm please
positive,finally called get met seattle refund processed thanks
negative,reservation hold wish hold possible phone issues americanair
negative,app allow canadian address used mobile canadian site let select passenger
negative,phone issues please fix
negative,one get hold get past automated reply hangs frustrated
negative,trying get home beyond complicated hard students split fly aa ever
negative,website able check flight morning
neutral,tell flight dfw phl cancelled flightled tomorrow
neutral,looking going able get time flight
negative,boyfriend supposed home saturday flight dc cancelled flightled yet please get home
negative,tried amp disrespectful professional amp nd flight cancelled flighted get home surgeryhelp
negative,answer phones trying change reservation able get human pick two days
negative,add ktn asked numerous times one answers phone missed flight upset
negative,flight us ric dfw cancelled flightled yesterday amp hold w cust service pm est hours answer
negative,got phone w rep flight disappeared locator irrlcd said rescheduled help please
negative,unamerican airlines lies poor customer services
neutral,thank
negative,even tell country
neutral,sent dm please help
positive,awesome flight morning aa awesome crew even landed early
negative,yes sayin particularly poorly handled situation
negative,pay extra cos flight longer available accept us card way nyc
negative,flight chicago buffalo hour flight care safety
negative,
negative,could voided ticket since gt hrs since flight booking problems going waive fees still get
negative,mean flights going buffalo locations care safety
negative,line half hour trying see representative might even miss next flight unacceptable
negative,trying speak agent hrs cancelled flightled flight reps always busy get ahold
neutral,please follow
neutral,way could look options today
negative,almost bad
negative,use app say
negative,two hour wait
negative,get thru anyone phone
negative,anticipate decisions cancelled flightlations dfw tomorrow morning need rearrange hotel reservations etc asap
neutral,saw finally come mobile app however tomorrow meetings tonight trying make
negative,calling morning change name upcoming trip able get please advise
negative,take meds make severely dehydrated sigh
negative,dm email address tell ordeal tell think fair
negative,set notifications aa amp us airways still nothing
negative,get travel question answered quickly online calling helping busy day
negative,upon entering plane stewardesses water please take seat
negative,website let view reservation due changes made outside hold get help
neutral,meant use k bonus sign mileage alaska flights american
negative,outbound flight hour delay b c air traffic amp gate changes dividend miles member gets email text updates
negative,record locator oaaret got email rebooked got notification flight cancelled flightled
neutral,please confirm cid dfw departure cancelled flighted want make hour drive
positive,huge thanks fixing flights appreciate customer service could get seats assigned next wife
neutral,oaaret flight cancelled flightled
negative,friend legally required chaperone school trip
negative,record l oaaret got email get rescheduled another flight know flight cancelled flightled
negative,technical problems frustrated answerthephone res hold get thru use credit pay
neutral,good morning please let know able get luggage tags tx
negative,cancelled flighted flights rerouted hrs travel bump paying customers non revs custserv
negative,hold estimated hr hold
negative,sent letter said would talk stewardess serving drunks drinks help
negative,supervisor robinson served lot attitude cancelled flighted flight spite put back crazybitch
negative,gate c gate agents turning paying customers away favor non revs
negative,one app still shows time
negative,lol sure wake response half thought auto tweet hope made
negative,aa second week row delayed due mechanical issues sleet outside yet stuck changing tire
positive,thanks hoping wed get back dfw
neutral,need vacation ice
negative,keep trying call change reservation keep hanging
positive,appreciate replies though
positive,although hour delay every single staff member ticket desk admirals club sweet pie
neutral,runways dfw flying late flightr today thanks
negative,bring fianc back
negative,hahahaha crazy well another night airport
positive,kudos ticket agents making passengers check bags big fit overhead
negative,sorry enough compensate either extended time cost difference alternate direct flight right
negative,stop cutting pasting apologies get additional phone reps jobs
negative,work would much better lesson plans music classes today
negative,call system fucking joke
neutral,lax amp got phone w reservations every flight get bos tmrw apparently unavailable
neutral,anticipating weather relate flightd cancelled flightations afternoon departures aus today
neutral,worries blame weather
negative,moved us onto pm availability answer phone young children help
negative,honeymoon paid extra business sitting next bride bumped status disgusted
negative,deplaned rd fucking time fuck aa
negative,redeem travel voucher flight reach travel agent phone hold expires hours
negative,thanks results missing conference attending options book earlier receive refund
negative,almost hours heard nothing yet reservations team supposed
negative,cancelled flightled flight due weather others flying fine compensation resolution incompetent
negative,hours phone yesterday really still pick status us air flight
neutral,need back cleveland early possible tomorrow
negative,worst experience ever way
negative,calling tell flight rescheduled hours late flightr supposed seems like bad solution
negative,fail see telling caller bag may take hours get jfk brooklyn best
positive,thanks jacqueline clt cleaning mess awesome service
negative,weather fact get ahold anyone help tweet back
negative,please message assistance get anyone
neutral,trying track backs two attendees help
negative,witnessed manager named denise yell different customers issue rude
negative,comes one answered calls emails
negative,lax service reps hand number call helpful
negative,extend rtn flight bereavement nd could change fee dropped told worse day life badcustomerservice
negative,tried ten times last night morning many times try meetings make tonight atx
neutral,mean ktn reservation
positive,thanks responding
negative,thanks done understand whose bags fit notified air landing technology
negative,still talked anyone guys prepared situations good service mad
positive,ok thank get hold someone get new flight
negative,horriblecustomerservice rudestaff incompetentmanagers
neutral,sent dm
negative,good luck waiting week
negative,tisk tisk rude flight attendants yet hang suit buy first class learn
negative,would appreciated please send page long form amp limited characters direct email
negative,biggest joke customerservice ever seen brand
negative,would awfully nice could send alert flight cancelled flighted text email love
negative,thanks took care issue ivr unclear took long get call back option would love see fixed
positive,thank much helps lot
negative,understand even put hold says try late flightr goodbye
negative,need apology need fix competent manner
negative,like call back system thought like know working well received three calls audio
negative,need back home tomorrow one helping please help rebook flight tomorrow
negative,filed pir agent indianapolis airport unable pull information online site dmed details
neutral,hear delta offering miles frequent flyers bags come within minutes landing thoughts
negative,called hung
positive,thank
negative,u cud answer plenty inflight stealing going right amp fa uncomfortable convo w pass
negative,fine would call left message told would hours call heard anything yet
negative,flight cancelled flightled yesterday early afternoon call wake tell
positive,miami agents rachel wong marisol pimentel pleasant world chaos big thank u
negative,put call back still nothing think might get back
neutral,anyone online help flight leaves hrs
negative,cancelled flight amp flights hrs longer amp layovers late flight find reasonably priced alternative
negative,know may also working home thanks nothing
negative,called ep line hours late flightr called back sat hold hour us airways cut
negative,flight cancelled flightled need get back cleveland options
negative,way could put hotel night sleep airport tonight
negative,many times exactly call leave number call back worked
negative,would great get help trying since last night get
negative,telling frustrated customers super busy please call back late flightr kthxbai hanging best practice
negative,becomes get money passengers strict feedback reward
negative,even bag status take actions company incredible irresponsible costumer
negative,still waiting news bags hrs already happened company give passengers certain information
negative,customer service sucks rep yelling caller regarding weather dfw hope go bankrupt
negative,phone disconnects stay line need checkout hotel hrs amp place go keep calling
neutral,know wifi flight much thank
positive,apologies required made home safe thanks kudos aa
negative,requested call back cancelled flighted flight dfw take long reroute customer service lacks
negative,review systems notification website telephone systems place clearly inadequate
negative,sell mce post door close shuffle way u sell drinks snacks people flight self upgraded w paying
neutral,cancelled flightled tonight
negative,good enough info communicated point silence hours sat oh seat broken worst
negative,get operator hour worth calls cancelled flight delayed flight automated system go beyond message
negative,cannot provide us alternative flight hours late flightr ruining trip cancelled flightled angry problems ruined
negative,stand baggage claim hour waiting bag knew never made plane
positive,love travel planes people nice amazing please follow back love company
negative,helpful flight already cancelled flightled reflight booking problems aa email cell yet notifications
negative,leave jaipur tomorrow back dehli delhi one night need use abilities make magic
negative,change gate tell fuck wrong people learn fucken job
negative,trying make online flight booking problems one way barbados nyc wont let says need barbados cc
negative,would purchase choice guys cancelled flightled flight stuck dfw hours
negative,haha said fault somehow guys r joke
negative,stuck miami one worst customer experiences ever sure let everyone know time w aa
negative,days plains fails
negative,took hours call back disconnected twice never get back work
negative,far getting maybe bag come today know website says status unknown help
negative,flight cancelled flightled need rebooked online answering calls help
negative,filled whole form receiving poor poor response direct email address reply
negative,abc pr let customers info possible might want go brush basics
negative,last trip poor customer service trips row come
negative,stiiiil waiting please respond flight leaves hrs
positive,worries loved flying guys thanks
negative,worst reps jacksonville airport rude totally helpful
negative,understood integration takes time excuse poor customer service
negative,least got response via twitter went yesterday
negative,called paris office morning still waiting miami apparently tag taken
negative,get assistance flight cancelled flightled today phx dfw hating job concerned
positive,would also like say kind move adding points
positive,ok received email registration team thanks lot
negative,delay counter take valid cac card valid id needed tsa precheck pass
negative,right give email write
neutral,dfw accepting arrivals departures today
neutral,true fas saying way collect money passengers door closing want mce seat
negative,called reservation still waiting someone call back
negative,confirmed flight done thanks nothing
positive,necessary confident excellent flight staff make appropriate report
neutral,sorry equipment passengers allowed return plane
positive,thank best could get rebooked agent phone amp addtl resolution dm much appreciated
negative,email phone call nothing screwed flight family friends flights cancelled flighted reservations
negative,care could someone call explain going
negative,hey automated call hang reschedule cancelled flighted flights via web come
negative,service rep happened yet honestly fed sick notice flight got cancelled flighted
negative,help flight dallas cancelled flightled morning cle hold hours need booked next flight
negative,hotel tonight expect pay even money money supposed get call back
negative,flight dallas sfo cancelled flighted get anything else tomorrow put
negative,possible call system refuse callers twelve hours service options leave
negative,understand bit wait called pm get call back pm cool
neutral,like one
negative,pathetic answer found bag sitting lga hours call lmk delivery bag bad
negative,stranded miami automated system keeps hanging two days help
negative,flight cancelled flighted word ground staff
negative,apologize frustrations michael rebooked got call back hours bad
negative,trying register since want separated brother hours flight places left
negative,trying get thru agent since last night b c aa changed flight days infuriating need get sea
negative,called last night hrs got call back get one day pass admirals club going spending hrs dfw
negative,get guys respond tweets dm really sad feeling ignored
negative,still waiting call back stranded one talk
neutral,thank know busy today help would appreciated
positive,karen riedel rock star employee miracle worker really appreciated help morning
negative,trying talk customer service add lap child get hold anybody need help
negative,thx already iberia website seat reservation unavailable hopefully call
negative,merger cluster inefficiency misinformation going done
negative,would nice could actually talk reserv team hangs since last night
negative,one checkpoint open jfk terminal ridiculous
negative,wow flight crew shows mins flight catering aa nice treat customers
negative,miss saying goodbye friend cause crappy service swear never hear end americanairlines
neutral,umm hello
neutral,qsvgru would next flight arrive
negative,absolutely false stmt comedy errors incl catering etc getyouracttogether
negative,see report team
negative,hours still call back hung automated system americanairlines
negative,bet make screw right things need bag job grounded today painandsuffering
negative,last thing want deal w mon already waited suggested wait time hope get call back asap
negative,get automated system hangs finally get message call back hours
negative,says agents busy try back late flightr
negative,file loc tjycqh bag airport since last nite scheduled get pu unt aft u shld b ashamed disgusted w u
negative,remained hold hrs resolve flight schedule amp system hung unhappycustomer
negative,two days trying reach americanairlines customer service change flight
negative,death dear friend heart broken americanairlines heated
negative,spent hour trying check use military id luggage messed boarding pass amp forced line
negative,customer service via phone person stone wall giant middle finger painted
negative,days call bag anyone pick call held ph til holding insane help
negative,way ruin vacation brother called night multiple places line get dead air call back
negative,trying change flight hang ppl bc call volume high joke right
negative,thanks reflight booking problems flight leaving luggage nyc unbelievable
positive,thank
positive,love american airlines
negative,reservation phone system actually works know number unreachable callbacks dead air
negative,told flights amp cancelled flightled seem date time changes waiting call
positive,v nice give breakfast voucher airport almost got whole drink
negative,husband amp complain flight gets voucher get nothing flew biz email
negative,date revieving money sent letter post several emails reply frustrated
negative,running hours behind replying anyone via twitter beyond unacceptable running time
neutral,hi phone number ring uk regarding claim late flight flight departure claim amount agreed
negative,sure made stand line outside plane ready board could sitting inside
negative,even get one knew anything bag ridiculous still bag saturday
negative,thank mr parker screwing chairman preferred fly aa firstclass option treated like crap staff
negative,thinks good cs get everyone gate flight wait bc plane ready
neutral,check dm please
neutral,got callback took care thanks
negative,poor experience day ord chkin emp w cust waiting asked speak w supervisor told min mtg
negative,trying reach american airlines since last evening cancelled flight flights worst customer service ever
negative,cruel amp unusual cancelled flight flight w notice amp make someone stay hold min amp listen ad loop
negative,please help rebooked incorrectly flight cancelled flightled please fix flt tuesday
negative,days since contacted customer relations surf fail baggagedrama
positive,eventually call got sure changed thank lot though
negative,night someone please help need flt fixed please
negative,tried day disconnected due heavy call volume
neutral,flight la delayed
positive,thanks good back safely see soon
negative,hey happening aa zurich jfk appears squawked landed london heathrow
negative,got call saying flight cancelled flightled checked online cancelled flightled near bad weather job interview
neutral,hello cannot register tomorrow flight paris las vegas feature currently unavailable appears
neutral,start sell water
negative,worstcustservice contingency plans extra workers bad weather hours hold ridiculous
negative,want know regarding connecting flights since st cancelled flightled could assistance
neutral,hi guys tell emergency aa diverting heathrow zurich new york thanks john
negative,please stop changing flights spring break th time
negative,school trip including sleep airport different standby flights good
negative,customer service inferior nationalized third world nation airline get together
negative,cancelled flight flight jfk delay us hours lost bags worst airline ever
negative,flight aal declared state emergency squawking
negative,want thank guys hour delay flight aa jfk due staff shortage weather
negative,delayed hours chicago still managed lose bag really happy
negative,rubbish social media air two hours late flight better cancelled flightled
negative,yes manage lose two bags horrendous airline
positive,thanks guys got heading milan wednesday big week aa family
negative,fligth somthing talk
negative,interested possibly changing flight another day need see fees number busy
negative,understand busy still gotten answer need get home guys helped
negative,yet called baggage status times yesterday
positive,thanks charge anything end good
positive,wonderful fc fa flight pre dawn nice start day
negative,hold two hours waiting hours earlier get info reservation ok
negative,except wait time phone system hangs continuing hold help
negative,lga already time pulled flight qqbmug feel free look many flights reticketed
negative,except call get message trust tried
negative,westjet rep anything lost luggage never even checked westjet lost
negative,waited airport two days get home weather relate flightd dealt horrible customer service finally switched
negative,ignoring purpose sad enough automated system hang
negative,need talk get full refund trip call center offers assistance
negative,wont find luggage without blaming everyone else
negative,aa usair elite members one big disappointment way treated epicfailure
neutral,rebooked due weather need change reservation fly th instead rd
negative,love get agent phone automated system hangs
negative,called abt flight cancelled flightlation flight cancelled flightled sunday two calls okay
neutral,respond dm
negative,thank worst experience ever airline hope embarrassed airline pathetic
neutral,airport figure someone tell flight san juan san diego
neutral,could let know staying tonight booked anything would great go
negative,weeks ago today arrived miami still bag absolute disgrace
neutral,terminal lhr aa ba say boarding pass
negative,going homeless place stay tonight respond go back sleep
negative,clue place stay
negative,really dm verify booked hotel extra night kinda unsettling get call
negative,extra night stay san juan check
negative,hey got call saying flight rescheduled get anyone see providing hotel
negative,wait bag go walmart get need tomorrow morning
neutral,less night party hotel sleep rebook way back phl
neutral,hi koa lax phl ord booked way savr awrd called chnge koa lax phx ord would pay fees
negative,calling different offices already still sign baggage first time american air
negative,apologise frustrations amp disappointment terrible service blameshiftoverload
negative,got worked postpone trip pay extra though easy poor graduate student
negative,best talk agent reschedule cancelled flighted flight one answers aa know busy need help thanks
negative,want waste time airline already robbed hours day definitely
negative,might urgent really
negative,france two days without changing clothes nothing keep warm please locate bag send
negative,flight jfk las first catering late flight push back crew hrs delay
negative,flight cancelled flighted nd time reach agent reschedule call
negative,two coats bag france coat walking around shirt one clean pair
negative,bag still miami cannot located loose bag like tag everything
negative,visiting sju returning paris checked bag gate sju arrived paris nothing
negative,speaking languages paid us line left min hold without answer latinamerican solved min
positive,yep one camera memory card
negative,terrible flights cancelled flighted hold past hours never
negative,certainly hope la pbi th new plane seats feb th flight reverse god awful
negative,hs students ithaca ny stuck miami flts xld u rebook get kids home use carrier alliance rulesshouldbend
negative,hands worst airline travel really really fucking bad
neutral,use aa credit platinum select world mastercard alaska flights american
neutral,aa return jfk thanks
negative,phone line open hold hours check agents cannot help airport please help
negative,sense charge bag service service great losing luggage missing items bs
negative,sheer incompetence reigning dfw today plane gd runway doubt
negative,yes make home means happy always chosen aa st choice flying rethinking
negative,still waiting dm response sloooowresponses
negative,stop paris embarrassment
negative,stuck two days airport something pretty normal positive find plane europe
negative,highly disappointed baggage service merge guys lost st bag missing items
negative,landed hours late flight need wait twenty minutes gate patience none incompetence
negative,finally called back spoken like worst prank call ever
negative,wait times hours talk exec plt agent going
negative,one time upgrade first class luggage open missing valuable items replaced upset
neutral,please rebook seattle columbus tue locator karaax name mitchell neuer
negative,still reply email sent th february even sent email asking acknowledgment recieved nothing
negative,flight cancelled flighted trying get chicago gonna flying flight travel
negative,working time tonight got delayed days sju could worse
negative,allow hold problem
negative,worst airline world yousuck horrible oscars
neutral,reebooked tomorrow aa lv dfw arriving pm still open flight
negative,add insult injury guys misplaced bag believe pay money treated poorly
negative,connecting flight dfw cancelled flightled need get ind tomorrow way get sorted holding h
negative,would like reimbursed shuttle denver diversion hours sitting plane mech problems
negative,please reply mess rebook twice
negative,hold hrs call bk either family trying get hdn dfw flight direct need new info plz
neutral,check status exp membership card need physical card access international lounges soon
negative,flight tomorrow cancelled flighted guys keep letting
positive,thanks champagne aa ord nrt celebrate tokyomarathon finish
negative,beyond confused would offer earlier flight cancelled flightled asked tues please fix
negative,mex need fly new york city tomorrow new flight tuesday unacceptable please help
negative,mom flight tomorrow cancelled flighted w notice phone system said callback hours need go bed
negative,trying reach advantage department add number recent flight
negative,going keep tweets coming till aa something know nothing hoping go way likely
negative,make sure u insure luggage assholes aa take fricken responsibility amp believe lies
negative,everyone weeks amp dickheads aa contacted lost checked bag amp carryon offer pay
negative,arent callings going thru doesnt wait anything automated stuff messed
neutral,made seattle
negative,flying us air changes cancelled flightations leading today big finale unacceptable
negative,thanks apology bit late flight cancelled flighting flight hrs advance due weather ridiculous
negative,cancelled flightled flight tomorrow without telling want rebook please help book new flight call
negative,word failure means act instance failing proving unsuccessful lack success nonperformance something due
negative,offer automated call back option agent available call amp sit hold onholdfordays
negative,phone number supervisor speak regarding travels today
negative,hanging customers chance callback failure customer service est one answer
negative,think priority member wonder treat plebes know rewards card cancelled flightling immediately
negative,past hours call volume high one take call cancelled flight itinerary youredoingitwrong
negative,worst airline cancelled flight flight let know wait hold mins told enter callback middle night
negative,guys give helping people phone tree hangs flight tomorrow connection pending
negative,called back put hold midnight literally want know getting home getting help
negative,flight delayed hours one americanairlines counter tell husband flight help
negative,happens many times upsetting see poorly airline treats customers
negative,seriously reps available take phone calls even platinum
negative,overall lack attention foresight managing flights
negative,stuck plane landing crew unable figure
negative,also hold minutes customer service find new flight scheduled bc site sucks
negative,yes without bags first class tickets tahiti would nice saying
negative,err hour wait time exec plat line
neutral,please connect two reservations together also add child lap kevolt sozldj march thanks
negative,even say anything hours hold one ever sucked much
negative,flight cll let check please help importantflight
negative,agent sent family diff planes dfw late flight due delay cancelled flighted plane started fail
negative,finally got call aa automated voice hung called back amp says hours
negative,hold another hour still nothing cancelled flighted flight supposed six hours stranded
negative,offered flight phl tuesday ask booked houston instead austin
neutral,think though literally identical itinerary sample itineraries would work maybe need update
negative,running battery chargers clothes coat contact lenses need mtg tom need help pathetic service
negative,flight mem dca delayed hours holding breath keep trapped hours de ice scareair
negative,stuck airplane way phl houston passengers frustrated makes want avoid airline
negative,bag turned thanks useless call centre useless website
negative,flight phl austin cancelled flighted headed houston delayed pay rent car drive hrs austin
negative,understand weather issues understand notified cancelled flightlation realize late flight
negative,u deliver luggage almost two days holding phone hrs help
positive,whoooo hooooo crossed current pace reach year
neutral,would like talk someone please follow
negative,lost luggage hours holding hrs phone wtf treat loyal passengers stranded
neutral,lmao funny
negative,waiting three hours talk someone rebook flight due weather call back service actually work
negative,service received us rude well expectations airline frustrating
neutral,flight tomorrow reservation coming help
negative,please dm way get touch someone help platinum aa considering quitting aa bc
positive,thanks following think fair refund ticket price two one way rental cars buy
negative,friend scheduled close together lax reimbursed costing hrs amp
positive,understood thanks anyway
negative,going since take option gave type refund
positive,today yyz bit bag issue cleared beautifully thank check
negative,sounding like got bitch slapped
negative,tomorrow flight cancelled flightlations dfw aa flights posted lax
positive,gate agent jan l phoenix least able get younger daughter seated near wife thank
negative,hold international award reservations almost hours keeps calling going
negative,someone actually either call back help figure getting home
positive,early frontrunner best airline oscars
negative,get home
neutral,left something flight ord sfo earlier today believe plane back ord please help
negative,hanging customers high volume customer service tried resolve via dm still waiting bad aafail
negative,told would emailed received anything yet follow
positive,good catching p flight tonight thanks response
negative,interesting agent told sadly another booked passenger make gate push back made
negative,flight cancelled flightled website refers hangs auto rebooked really horrible company
neutral,booked aa departing jfk booked via ba want change ff aa via twitter
negative,sitting bird aa hrs dfw tarmac water would nice manners
negative,need know flight cancelled flightled speak anyone help
negative,calling hours reschedule flight dfw due weather even let stay hold
negative,thanks best staying night dallas new trial detroit via atlanta tomorrow assuming cancelled flightlations
negative,customer service disgrace
positive,joanna wonderful job thank
negative,got gate time watch plane push back minutes needed glad relatives nearby
negative,first flight cancelled flightled hold hours need information getting none help
negative,get new crystal ball cancelled flight flights weather hits rebook flight looking like nights hotel
negative,yes shows cancelled flightled amp asks contact number
positive,thanks really open pm every day way check open going way thanks
negative,toby hates lol
positive,thanx replying dm sent
negative,put fact gate supervisor tried come communicate us
negative,anymore
negative,need change flight cs telling take call change online please help flight week
neutral,hours still bag could flown costa rica back gifts family bags
negative,call aa even get hold help
negative,lies lies lies worst travel experience life day clothes vaca lostluggage unprofessional pit mia
negative,tell piece shit get fucked fly exclusively life
negative,continued contacting phone reps hours still unable get absurd livid
positive,thanks
neutral,probably money said hell lol
negative,dfw gate bmi agent seriously beyond incompetent never flying aa avoided fail pathetic
neutral,going speak customer service airport tomorrow morning see options need flight tomorrow
neutral,get status update flight going make home tonight
positive,hotel thank
negative,almost million miles w u loyal u r u going reciprocate joke
negative,thank holding apologize delay answering call speak representative please continue hold
negative,weather involved
negative,hold hours diff agents w different information frustrating kept getting txfd
negative,still hold wondering hours minutes counting servicefail onholdforever suboptimal
negative,never seen incompetency gate agent years business travel dfw b gate agent needs training new job
negative,says changes made online
neutral,status flights tuesday dallas
negative,hey cancelled flightled flight get someone phone rebook hour wait minimum get service
negative,ft tus dfw w cx lga tomorrow cancelled flighted hrs far waiting call back need get nyc
negative,meals also us company care customers truly disgraceful
negative,far best example worst company
negative,cost day vacation hotel stay day dog boarding day airport parking
positive,got bags morning thanks
positive,joanna wonderful new flight booked friendly helpful agent stressful day thank
negative,way spoken dfw mia employees truly disgusting save pain fly anyone else
negative,home amp hr late flight thanks service centre plan involved flight legs across na full days
negative,thx losing bag hard care bag w priority u cont care ep
positive,ok worries thanks straight story appreciated
neutral,thank response book tried aa number us airways number time pick
negative,destination waiting hours missing second flight luggage made flight though
neutral,flights dallas tuesday going cancelled flightled correct
negative,luggage forgot mia oscar
negative,cost day vacation got rude woman tell go another country figure get
negative,really help getting ton bad publicity right willneverflywithyou
neutral,flight number
neutral,looks like mistake
negative,lost luggage flight yesterday morning miami newyork lga response luggage hrs ltr
positive,wow helpful
neutral,gate get plane
neutral,take care please thanks
positive,beautiful photos thx would marketing dept interested buying
neutral,worries swamped know dmd back thank u
positive,made worries guys good tonight even put flight firstclass
negative,answering fast mean hanging every call
negative,least automated message gives info merger w another airline know avoid
neutral,done hope offer something
negative,hr wait became hr one claimed sent email yeah never happened flydelta
negative,hrs wait phone worst customer services b trying know suitcase way angry
negative,take care flight screw ups
negative,wht n experience w aa reservations service tried patient rep disconnects aa u record conv
negative,info cancelled flightled flight tomorrow morning dfw get calls speak anyone
negative,ticks
neutral,fly news
negative,thanks info super large passengers extra seat mr big needed one sitting already customerservice
negative,today yrs longer preferred airline
negative,thanks two hours go inflight hotel hang dfw travel delays aa team
negative,appreciate system busy call automated system hang helpful
negative,next time flight cancelled flightled appreciate indication email text carrier pigeon app even warn check
negative,nope rebooked
neutral,online flight notification
negative,platinum flying usair stranded clt answering phones rebook please help
negative,aa paulo taking today colleagues tell us thing
neutral,flight tomorrow status please thanks
negative,change flights enough operators handle calls unacceptable americanairlines
positive,lot plate flight dealing cancelled flightlations weather tonite important know respond
negative,flight delayed flight sold seat flight strand phx three hours thanks memories
negative,paid extra seat amp monitor work aa refund seat conf mdbeei mcmullen
negative,nice would helpful flight attendants instead rude nasty ones employ whyareyouyelling
negative,yes however seats assign us day never together want sit husband impossible
neutral,luck
neutral,group cancelled flights close thousand flights monday
negative,almost days still frozen thanks doll
negative,line people rebook mia virtual hold rebook line hangs call back
